taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2844	Glycyphagidae	2844	Glycyphagidae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Sarcoptiformes	542	Glycyphagidae	2844					
2142554	Miagrammopes O.P.-Cambridge, 1870	2142554	Miagrammopes O.P.-Cambridge, 1870	8	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Uloboridae	3326	Miagrammopes	2142554			
2163538	Theridiosoma chiripa Rodrigues & Ott, 2005	2163538	Theridiosoma chiripa Rodrigues & Ott, 2005	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Theridiosomatidae	9584	Theridiosoma	2163531	Theridiosoma chiripa	2163538	NE
2175973	Banksetosa dubia Chickering, 1946	2175973	Banksetosa dubia Chickering, 1946	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Banksetosa	2175971	Banksetosa dubia	2175973	NE
3252685	Pandionacarus Balogh, 1937	8407511	Bonnetella Trouessart, 1924	1	GENUS	SYNONYM	Animalia	1	Arthropoda	54	Arachnida	367	Sarcoptiformes	542	Avenzoariidae	2252	Bonnetella	8407511			
5173353	Martella camba (Galiano, 1969)	5173353	Martella camba (Galiano, 1969)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Martella	2176700	Martella camba	5173353	NE
6887076	Neocelaeno Berlese, 1910	6887076	Neocelaeno Berlese, 1910	1	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Arachnida	367	Mesostigmata	1109	Celaenopsidae	4549800	Neocelaeno	6887076			
7475406	Costarina sorkini Platnick & Berniker, 2014	7475406	Costarina sorkini Platnick & Berniker, 2014	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Oonopidae	6185	Costarina	7904098	Costarina sorkini	7475406	NE
10021644	BOLD:AAL6137	10021644	BOLD:AAL6137	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
10115471	BOLD:AAL6164	10115471	BOLD:AAL6164	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
10207464	BOLD:AAL9644	10207464	BOLD:AAL9644	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496							
2134609	Microplanus odin Miller, 2007	2134609	Microplanus odin Miller, 2007	31	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Linyphiidae	3415	Microplanus	2134607	Microplanus odin	2134609	NE
