epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,32542,1.01534,0.71085,1.54969,0.85341,0.88829,0.92634,0.62208,0.99524,0.71526,1.56961,0.0002576,0.0002576,0.0002576
90,33728.5,1.03435,0.71762,1.55439,0.86318,0.88089,0.92939,0.62299,0.9985,0.69924,1.57039,0.0002378,0.0002378,0.0002378
91,34922.5,0.95665,0.64926,1.4174,0.85651,0.87004,0.92235,0.61922,1.00641,0.71117,1.56396,0.000218,0.000218,0.000218
92,36087.2,0.93168,0.63012,1.40329,0.85346,0.87179,0.92252,0.61819,1.01465,0.70995,1.58183,0.0001982,0.0001982,0.0001982
93,37258.7,0.93057,0.62395,1.40555,0.86519,0.87364,0.92816,0.62312,1.0057,0.69704,1.586,0.0001784,0.0001784,0.0001784
94,38396,0.92507,0.61633,1.39124,0.8577,0.87374,0.92476,0.61777,1.00471,0.71432,1.58008,0.0001586,0.0001586,0.0001586
95,39532.2,0.92054,0.60792,1.38312,0.85542,0.86666,0.922,0.61351,1.00601,0.71755,1.58883,0.0001388,0.0001388,0.0001388
96,40657.7,0.91853,0.61157,1.39498,0.84459,0.87818,0.92121,0.61595,1,0.72398,1.59793,0.000119,0.000119,0.000119
97,41790.8,0.90744,0.5976,1.37923,0.84603,0.88212,0.92491,0.61756,1.0064,0.72682,1.59949,9.92e-05,9.92e-05,9.92e-05
98,42930.8,0.91823,0.60171,1.3939,0.84913,0.87584,0.92199,0.61569,1.00622,0.72342,1.6072,7.94e-05,7.94e-05,7.94e-05
99,44054.9,0.90548,0.60364,1.37325,0.85544,0.87118,0.92238,0.61608,1.00094,0.72099,1.59168,5.96e-05,5.96e-05,5.96e-05
100,45184.2,0.89843,0.58375,1.36832,0.85009,0.87404,0.92042,0.61552,1.00229,0.72381,1.60851,3.98e-05,3.98e-05,3.98e-05
