Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED11,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,133.0,8.471829,-90.0,top
LED12,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,-45.0,-95.003171,90.0,top
LED13,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,22.5,7.996829,90.0,top
LED14,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,46.0,7.971829,-90.0,top
LED15,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,79.7375,8.734329,180.0,top
LED16,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,-64.7375,-51.265671,0.0,top
LED17,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,-64.7625,-61.265671,180.0,top
LED18,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,-65.2375,-71.265671,0.0,top
LED19,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,-45.2375,-30.265671,0.0,top
LED2,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,-17.0,-94.503171,90.0,top
LED20,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,157.7375,-6.285671,180.0,top
LED21,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,157.7625,-28.765671,0.0,top
LED22,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,135.7625,-29.765671,0.0,top
LED23,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,146.7375,-68.765671,180.0,top
LED24,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,147.0,-74.003171,90.0,top
LED25,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,153.7375,-75.265671,180.0,top
LED26,XL-2835UWC-02,LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,122.7625,-81.765671,0.0,top
